Entidad,B3-A-Formar parte de alguna red de docentes/directores-Recuento,B3-A-Formar parte de alguna red de docentes/directores-% del N de fila,B3-A-Formar parte de alguna red de docentes/directores-% de N columnas,B3-A-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-Recuento,B3-A-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% del N de fila,B3-A-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% de N columnas,B3-A-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-Recuento,B3-A-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% del N de fila,B3-A-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% de N columnas,B3-A-Participar en programas de especialización de métodos de enseñanza colectivos-Recuento,B3-A-Participar en programas de especialización de métodos de enseñanza colectivos-% del N de fila,B3-A-Participar en programas de especialización de métodos de enseñanza colectivos-% de N columnas,B3-A-Acceder a cursos o talleres relacionados con las características del plan de estudio-Recuento,B3-A-Acceder a cursos o talleres relacionados con las características del plan de estudio-% del N de fila,B3-A-Acceder a cursos o talleres relacionados con las características del plan de estudio-% de N columnas,B3-A-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-Recuento,B3-A-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% del N de fila,B3-A-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% de N columnas,B3-B-Formar parte de alguna red de docentes/directores-Recuento,B3-B-Formar parte de alguna red de docentes/directores-% del N de fila,B3-B-Formar parte de alguna red de docentes/directores-% de N columnas,B3-B-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-Recuento,B3-B-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% del N de fila,B3-B-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% de N columnas,B3-B-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-Recuento,B3-B-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% del N de fila,B3-B-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% de N columnas,B3-B-Participar en programas de especialización de métodos de enseñanza colectivos-Recuento,B3-B-Participar en programas de especialización de métodos de enseñanza colectivos-% del N de fila,B3-B-Participar en programas de especialización de métodos de enseñanza colectivos-% de N columnas,B3-B-Acceder a cursos o talleres relacionados con las características del plan de estudio-Recuento,B3-B-Acceder a cursos o talleres relacionados con las características del plan de estudio-% del N de fila,B3-B-Acceder a cursos o talleres relacionados con las características del plan de estudio-% de N columnas,B3-B-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-Recuento,B3-B-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% del N de fila,B3-B-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% de N columnas,B3-C-Formar parte de alguna red de docentes/directores-Recuento,B3-C-Formar parte de alguna red de docentes/directores-% del N de fila,B3-C-Formar parte de alguna red de docentes/directores-% de N columnas,B3-C-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-Recuento,B3-C-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% del N de fila,B3-C-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% de N columnas,B3-C-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-Recuento,B3-C-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% del N de fila,B3-C-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% de N columnas,B3-C-Participar en programas de especialización de métodos de enseñanza colectivos-Recuento,B3-C-Participar en programas de especialización de métodos de enseñanza colectivos-% del N de fila,B3-C-Participar en programas de especialización de métodos de enseñanza colectivos-% de N columnas,B3-C-Acceder a cursos o talleres relacionados con las características del plan de estudio-Recuento,B3-C-Acceder a cursos o talleres relacionados con las características del plan de estudio-% del N de fila,B3-C-Acceder a cursos o talleres relacionados con las características del plan de estudio-% de N columnas,B3-C-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-Recuento,B3-C-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% del N de fila,B3-C-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% de N columnas,B3-D-Formar parte de alguna red de docentes/directores-Recuento,B3-D-Formar parte de alguna red de docentes/directores-% del N de fila,B3-D-Formar parte de alguna red de docentes/directores-% de N columnas,B3-D-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-Recuento,B3-D-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% del N de fila,B3-D-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% de N columnas,B3-D-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-Recuento,B3-D-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% del N de fila,B3-D-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% de N columnas,B3-D-Participar en programas de especialización de métodos de enseñanza colectivos-Recuento,B3-D-Participar en programas de especialización de métodos de enseñanza colectivos-% del N de fila,B3-D-Participar en programas de especialización de métodos de enseñanza colectivos-% de N columnas,B3-D-Acceder a cursos o talleres relacionados con las características del plan de estudio-Recuento,B3-D-Acceder a cursos o talleres relacionados con las características del plan de estudio-% del N de fila,B3-D-Acceder a cursos o talleres relacionados con las características del plan de estudio-% de N columnas,B3-D-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-Recuento,B3-D-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% del N de fila,B3-D-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% de N columnas,B3-E-Formar parte de alguna red de docentes/directores-Recuento,B3-E-Formar parte de alguna red de docentes/directores-% del N de fila,B3-E-Formar parte de alguna red de docentes/directores-% de N columnas,B3-E-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-Recuento,B3-E-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% del N de fila,B3-E-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% de N columnas,B3-E-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-Recuento,B3-E-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% del N de fila,B3-E-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% de N columnas,B3-E-Participar en programas de especialización de métodos de enseñanza colectivos-Recuento,B3-E-Participar en programas de especialización de métodos de enseñanza colectivos-% del N de fila,B3-E-Participar en programas de especialización de métodos de enseñanza colectivos-% de N columnas,B3-E-Acceder a cursos o talleres relacionados con las características del plan de estudio-Recuento,B3-E-Acceder a cursos o talleres relacionados con las características del plan de estudio-% del N de fila,B3-E-Acceder a cursos o talleres relacionados con las características del plan de estudio-% de N columnas,B3-E-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-Recuento,B3-E-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% del N de fila,B3-E-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% de N columnas,B3-F-Formar parte de alguna red de docentes/directores-Recuento,B3-F-Formar parte de alguna red de docentes/directores-% del N de fila,B3-F-Formar parte de alguna red de docentes/directores-% de N columnas,B3-F-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-Recuento,B3-F-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% del N de fila,B3-F-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% de N columnas,B3-F-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-Recuento,B3-F-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% del N de fila,B3-F-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% de N columnas,B3-F-Participar en programas de especialización de métodos de enseñanza colectivos-Recuento,B3-F-Participar en programas de especialización de métodos de enseñanza colectivos-% del N de fila,B3-F-Participar en programas de especialización de métodos de enseñanza colectivos-% de N columnas,B3-F-Acceder a cursos o talleres relacionados con las características del plan de estudio-Recuento,B3-F-Acceder a cursos o talleres relacionados con las características del plan de estudio-% del N de fila,B3-F-Acceder a cursos o talleres relacionados con las características del plan de estudio-% de N columnas,B3-F-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-Recuento,B3-F-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% del N de fila,B3-F-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% de N columnas
AGUASCALIENTES,37.00,0.13,0.06,78.00,0.27,0.06,56.00,0.19,0.06,42.00,0.14,0.05,18.00,0.06,0.06,61.00,0.21,0.05,26.00,0.09,0.05,63.00,0.22,0.06,69.00,0.24,0.06,56.00,0.19,0.06,37.00,0.13,0.05,41.00,0.14,0.05,46.00,0.16,0.07,44.00,0.15,0.06,47.00,0.16,0.06,58.00,0.20,0.06,44.00,0.15,0.05,53.00,0.18,0.05,46.00,0.16,0.05,44.00,0.15,0.06,35.00,0.12,0.05,50.00,0.17,0.05,75.00,0.26,0.07,42.00,0.14,0.05,55.00,0.19,0.06,37.00,0.13,0.05,38.00,0.13,0.05,56.00,0.19,0.06,51.00,0.18,0.04,55.00,0.19,0.08,82.00,0.28,0.05,26.00,0.09,0.04,47.00,0.16,0.06,30.00,0.10,0.05,67.00,0.23,0.06,40.00,0.14,0.07
BAJA CALIFORNIA,3.00,0.07,0.01,4.00,0.09,0.00,8.00,0.18,0.01,10.00,0.23,0.01,1.00,0.02,0.00,18.00,0.41,0.01,3.00,0.07,0.01,6.00,0.14,0.01,6.00,0.14,0.01,9.00,0.21,0.01,11.00,0.25,0.02,9.00,0.21,0.01,6.00,0.14,0.01,8.00,0.18,0.01,7.00,0.16,0.01,7.00,0.16,0.01,10.00,0.23,0.01,6.00,0.14,0.01,13.00,0.30,0.01,10.00,0.23,0.01,5.00,0.11,0.01,6.00,0.14,0.01,6.00,0.14,0.01,4.00,0.09,0.01,3.00,0.07,0.00,6.00,0.14,0.01,12.00,0.27,0.01,11.00,0.25,0.01,8.00,0.18,0.01,4.00,0.09,0.01,16.00,0.36,0.01,10.00,0.23,0.02,6.00,0.14,0.01,1.00,0.02,0.00,8.00,0.18,0.01,3.00,0.07,0.01
BAJA CALIFORNIA SUR,21.00,0.10,0.03,56.00,0.26,0.04,23.00,0.11,0.03,41.00,0.19,0.05,11.00,0.05,0.04,61.00,0.29,0.05,19.00,0.09,0.04,41.00,0.19,0.04,52.00,0.24,0.05,36.00,0.17,0.04,26.00,0.12,0.04,39.00,0.18,0.04,39.00,0.18,0.06,28.00,0.13,0.04,34.00,0.16,0.04,45.00,0.21,0.04,36.00,0.17,0.04,31.00,0.15,0.03,35.00,0.17,0.04,26.00,0.12,0.04,21.00,0.10,0.03,39.00,0.18,0.04,54.00,0.26,0.05,37.00,0.18,0.04,36.00,0.17,0.04,43.00,0.20,0.06,37.00,0.18,0.04,25.00,0.12,0.03,44.00,0.21,0.04,27.00,0.13,0.04,62.00,0.29,0.04,18.00,0.09,0.03,46.00,0.22,0.05,27.00,0.13,0.05,41.00,0.19,0.04,18.00,0.09,0.03
CAMPECHE,20.00,0.11,0.03,46.00,0.25,0.03,27.00,0.15,0.03,26.00,0.14,0.03,13.00,0.07,0.04,54.00,0.29,0.04,18.00,0.10,0.04,42.00,0.23,0.04,34.00,0.18,0.03,38.00,0.20,0.04,27.00,0.15,0.04,27.00,0.15,0.03,18.00,0.10,0.03,28.00,0.15,0.04,24.00,0.13,0.03,40.00,0.22,0.04,42.00,0.23,0.05,34.00,0.18,0.03,28.00,0.15,0.03,20.00,0.11,0.03,27.00,0.15,0.04,36.00,0.19,0.04,40.00,0.22,0.04,35.00,0.19,0.04,36.00,0.19,0.04,29.00,0.16,0.04,41.00,0.22,0.05,30.00,0.16,0.03,31.00,0.17,0.03,19.00,0.10,0.03,66.00,0.36,0.04,21.00,0.11,0.04,33.00,0.18,0.04,16.00,0.09,0.03,33.00,0.18,0.03,17.00,0.09,0.03
CHIAPAS,8.00,0.13,0.01,22.00,0.37,0.02,13.00,0.22,0.01,7.00,0.12,0.01,2.00,0.03,0.01,8.00,0.13,0.01,7.00,0.12,0.01,12.00,0.20,0.01,8.00,0.13,0.01,9.00,0.15,0.01,9.00,0.15,0.01,15.00,0.25,0.02,4.00,0.07,0.01,4.00,0.07,0.01,19.00,0.32,0.02,10.00,0.17,0.01,11.00,0.18,0.01,12.00,0.20,0.01,8.00,0.13,0.01,8.00,0.13,0.01,10.00,0.17,0.01,12.00,0.20,0.01,12.00,0.20,0.01,10.00,0.17,0.01,14.00,0.23,0.02,8.00,0.13,0.01,6.00,0.10,0.01,12.00,0.20,0.01,13.00,0.22,0.01,7.00,0.12,0.01,19.00,0.32,0.01,6.00,0.10,0.01,4.00,0.07,0.01,10.00,0.17,0.02,13.00,0.22,0.01,8.00,0.13,0.01
CHIHUAHUA,30.00,0.12,0.05,51.00,0.20,0.04,27.00,0.11,0.03,59.00,0.23,0.07,17.00,0.07,0.06,72.00,0.28,0.06,34.00,0.13,0.07,45.00,0.18,0.04,52.00,0.20,0.05,54.00,0.21,0.05,31.00,0.12,0.04,40.00,0.16,0.05,39.00,0.15,0.06,44.00,0.17,0.06,31.00,0.12,0.04,40.00,0.16,0.04,45.00,0.18,0.05,57.00,0.22,0.05,51.00,0.20,0.06,35.00,0.14,0.05,43.00,0.17,0.06,44.00,0.17,0.04,50.00,0.20,0.04,33.00,0.13,0.04,46.00,0.18,0.05,48.00,0.19,0.06,51.00,0.20,0.06,35.00,0.14,0.04,47.00,0.18,0.04,29.00,0.11,0.04,56.00,0.22,0.03,33.00,0.13,0.06,52.00,0.20,0.06,24.00,0.09,0.04,66.00,0.26,0.06,25.00,0.10,0.05
CIUDAD DE MÉXICO,28.00,0.12,0.04,64.00,0.27,0.05,50.00,0.21,0.06,25.00,0.10,0.03,12.00,0.05,0.04,62.00,0.26,0.05,19.00,0.08,0.04,57.00,0.24,0.05,43.00,0.18,0.04,50.00,0.21,0.05,36.00,0.15,0.05,36.00,0.15,0.04,25.00,0.10,0.04,42.00,0.17,0.05,38.00,0.16,0.05,53.00,0.22,0.05,35.00,0.15,0.04,48.00,0.20,0.05,51.00,0.21,0.06,23.00,0.10,0.03,40.00,0.17,0.06,34.00,0.14,0.03,57.00,0.24,0.05,36.00,0.15,0.04,38.00,0.16,0.04,34.00,0.14,0.04,32.00,0.13,0.04,43.00,0.18,0.05,58.00,0.24,0.05,36.00,0.15,0.05,80.00,0.33,0.05,21.00,0.09,0.04,38.00,0.16,0.04,36.00,0.15,0.06,43.00,0.18,0.04,23.00,0.10,0.04
COAHUILA,14.00,0.17,0.02,17.00,0.21,0.01,5.00,0.06,0.01,13.00,0.16,0.02,8.00,0.10,0.03,26.00,0.31,0.02,5.00,0.06,0.01,9.00,0.11,0.01,18.00,0.22,0.02,23.00,0.28,0.02,11.00,0.13,0.02,17.00,0.21,0.02,16.00,0.19,0.02,14.00,0.17,0.02,9.00,0.11,0.01,12.00,0.15,0.01,23.00,0.28,0.03,9.00,0.11,0.01,18.00,0.22,0.02,12.00,0.15,0.02,11.00,0.13,0.02,15.00,0.18,0.02,15.00,0.18,0.01,12.00,0.15,0.01,12.00,0.15,0.01,15.00,0.18,0.02,15.00,0.18,0.02,13.00,0.16,0.01,15.00,0.18,0.01,13.00,0.16,0.02,18.00,0.22,0.01,16.00,0.19,0.03,25.00,0.30,0.03,7.00,0.08,0.01,11.00,0.13,0.01,6.00,0.07,0.01
COLIMA,24.00,0.12,0.04,52.00,0.26,0.04,38.00,0.19,0.04,35.00,0.18,0.04,6.00,0.03,0.02,45.00,0.23,0.04,16.00,0.08,0.03,44.00,0.22,0.04,55.00,0.28,0.05,31.00,0.16,0.03,24.00,0.12,0.03,30.00,0.15,0.03,23.00,0.12,0.03,27.00,0.14,0.04,28.00,0.14,0.03,50.00,0.25,0.05,33.00,0.17,0.04,39.00,0.20,0.04,33.00,0.17,0.04,37.00,0.19,0.05,29.00,0.15,0.04,27.00,0.14,0.03,39.00,0.20,0.03,35.00,0.18,0.04,40.00,0.20,0.04,20.00,0.10,0.03,25.00,0.13,0.03,43.00,0.22,0.05,43.00,0.22,0.04,29.00,0.15,0.04,64.00,0.32,0.04,20.00,0.10,0.03,25.00,0.13,0.03,14.00,0.07,0.02,55.00,0.28,0.05,22.00,0.11,0.04
DURANGO,44.00,0.16,0.07,61.00,0.23,0.04,44.00,0.16,0.05,41.00,0.15,0.05,17.00,0.06,0.06,61.00,0.23,0.05,33.00,0.12,0.07,52.00,0.19,0.05,49.00,0.18,0.04,64.00,0.24,0.06,29.00,0.11,0.04,41.00,0.15,0.05,35.00,0.13,0.05,44.00,0.16,0.06,43.00,0.16,0.05,51.00,0.19,0.05,46.00,0.17,0.05,49.00,0.18,0.05,45.00,0.17,0.05,41.00,0.15,0.06,33.00,0.12,0.05,43.00,0.16,0.04,58.00,0.22,0.05,48.00,0.18,0.06,33.00,0.12,0.04,38.00,0.14,0.05,50.00,0.19,0.06,51.00,0.19,0.06,60.00,0.22,0.05,36.00,0.13,0.05,78.00,0.29,0.05,32.00,0.12,0.05,49.00,0.18,0.06,18.00,0.07,0.03,58.00,0.22,0.05,33.00,0.12,0.06
